,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
0,01906,28171,23885,525,28,708,1,132,308,1073,90.6%,,9.3%,5.5%,29.7 minutes,29.6%,54.2%,1.2%,6.6%,8.4%
1,02026,25634,21030,1268,46,632,4,74,304,1353,94.9%,,21.0%,3.7%,30.6 minutes,30.2%,49.9%,1.6%,8.5%,9.8%
2,02062,29434,23642,1392,41,1695,5,184,416,1227,95.1%,,16.8%,4.2%,31.7 minutes,32.6%,49.4%,1.6%,7.2%,9.2%
3,02072,28665,21171,2884,35,970,2,448,613,876,91.7%,,12.3%,5.0%,35.0 minutes,30.0%,51.5%,1.3%,7.0%,10.2%
4,02108,4107,3389,96,5,139,0,14,46,136,101.6%,,44.0%,4.2%,23.9 minutes,42.2%,44.9%,0.9%,2.1%,9.9%
5,02109,4072,3194,114,6,224,0,19,43,171,94.9%,,38.0%,3.1%,20.7 minutes,58.3%,27.4%,1.0%,3.7%,9.6%
6,02110,2154,1501,40,2,93,1,0,26,70,101.6%,,48.7%,1.9%,21.8 minutes,44.5%,35.9%,1.5%,4.0%,14.0%
7,02111,7672,3100,259,3,3567,2,13,136,303,80.2%,,25.4%,4.0%,22.8 minutes,49.1%,42.1%,1.2%,2.4%,5.3%
8,02113,7602,6348,46,11,172,3,19,64,252,97.6%,,23.9%,1.5%,25.0 minutes,69.2%,21.2%,2.0%,3.1%,4.5%
9,02114,13187,8989,804,12,1164,3,34,210,783,98.4%,,47.0%,3.5%,22.9 minutes,62.7%,28.0%,1.3%,2.2%,5.9%
10,02115,29391,18410,2187,41,4222,12,95,678,2796,91.5%,,35.9%,9.0%,22.4 minutes,79.8%,13.4%,0.9%,2.8%,3.0%
11,02116,23333,14658,1235,24,3094,3,84,395,1135,94.9%,,44.1%,4.1%,23.4 minutes,54.6%,36.4%,0.9%,2.5%,5.6%
12,02118,28060,12149,5079,50,3612,7,129,520,4952,84.9%,,32.0%,4.7%,26.6 minutes,54.5%,31.0%,2.8%,3.7%,8.0%
13,02119,27217,1730,13673,115,341,15,1127,883,7462,76.3%,,7.1%,9.3%,30.7 minutes,52.6%,26.5%,4.4%,4.5%,11.9%
14,02122,24977,7935,6251,46,4026,11,1350,944,2916,78.8%,,7.9%,9.2%,31.7 minutes,49.4%,34.4%,3.2%,5.9%,7.0%
15,02124,53746,8217,26354,135,2954,6,1027,1535,7555,81.9%,,8.5%,7.6%,37.3 minutes,50.1%,32.1%,4.2%,4.3%,9.4%
16,02125,36874,9701,9155,89,3724,16,2726,1573,6311,80.3%,,11.5%,8.7%,30.6 minutes,53.1%,32.6%,2.8%,3.7%,7.8%
17,02127,36831,24947,1540,36,1515,10,134,369,3248,92.5%,,18.8%,3.8%,28.3 minutes,60.3%,27.1%,2.0%,3.9%,6.8%
18,02128,46870,15051,1283,69,1410,3,655,618,21419,67.7%,,8.6%,5.4%,32.8 minutes,47.4%,36.4%,3.6%,4.3%,8.3%
19,02129,18576,12458,764,18,1334,10,62,202,1591,92.6%,,29.3%,3.1%,30.3 minutes,46.7%,39.4%,1.8%,3.8%,8.3%
20,02130,39879,20209,4253,59,1822,7,192,876,7983,94.1%,,35.8%,4.5%,31.6 minutes,52.7%,33.4%,2.3%,3.6%,7.9%
21,02131,32924,14034,6342,82,787,9,191,643,7738,90.7%,,21.4%,5.3%,34.1 minutes,41.5%,39.7%,3.5%,5.8%,9.4%
22,02132,28697,20681,1283,25,1635,7,85,391,1754,95.1%,,29.0%,3.5%,33.0 minutes,32.0%,50.5%,2.0%,6.9%,8.6%
23,02134,17850,12644,973,17,3954,13,485,615,2802,92.1%,,29.2%,4.2%,33.4 minutes,73.0%,19.8%,1.3%,2.2%,3.7%
24,02135,41094,29895,1905,38,5706,11,565,859,3801,92.8%,,27.2%,3.7%,33.3 minutes,61.7%,28.2%,1.7%,4.1%,4.3%
25,02136,32217,8408,12338,60,488,11,235,597,6351,87.2%,,10.1%,6.2%,36.2 minutes,42.5%,39.1%,3.8%,5.9%,8.7%
26,02138,37598,24934,2258,56,5385,4,134,1298,2245,100.1%,,56.1%,3.9%,23.8 minutes,58.3%,32.0%,0.7%,2.6%,6.4%
27,02139,36859,20950,4932,60,5737,18,215,1406,3031,95.7%,,44.9%,3.5%,24.7 minutes,63.4%,26.2%,1.2%,2.3%,6.9%
28,02140,19885,10295,3110,25,2362,6,66,616,1127,95.2%,,43.3%,4.9%,30.4 minutes,45.9%,40.8%,1.7%,3.8%,7.7%
29,02143,27184,17869,1196,30,2460,9,412,659,1879,93.1%,,33.9%,3.3%,30.5 minutes,61.0%,29.2%,1.3%,3.4%,5.1%
30,02144,24826,19377,1149,28,1548,3,103,552,1131,96.0%,,36.2%,3.5%,33.0 minutes,58.7%,30.6%,1.1%,4.2%,5.4%
31,02145,26379,13815,2502,32,2191,4,1170,828,4897,84.7%,,15.2%,5.4%,31.4 minutes,48.5%,37.9%,2.0%,4.3%,7.4%
32,02148,61684,31226,8492,76,11919,13,1256,1532,4989,86.6%,,14.7%,5.8%,35.6 minutes,38.8%,46.8%,2.0%,4.7%,7.7%
33,02149,45134,22254,5636,84,1961,13,1827,989,8786,80.6%,,5.7%,5.6%,33.4 minutes,41.1%,41.7%,3.7%,4.3%,9.3%
34,02150,38785,8865,2337,55,1052,2,421,567,21825,67.3%,,7.4%,5.8%,32.6 minutes,47.2%,35.2%,4.1%,4.3%,9.3%
35,02151,53934,32316,2241,66,2856,6,789,887,12647,82.6%,,6.7%,6.3%,33.1 minutes,37.7%,41.5%,2.9%,6.1%,11.9%
36,02152,18289,15486,329,19,209,6,138,244,1066,95.4%,,12.7%,4.9%,32.6 minutes,31.7%,48.1%,2.7%,6.2%,11.4%
