,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
0,30013,26866,7227,15031,55,631,13,75,477,1674,90.5%,,8.7%,8.0%,31.9 minutes,34.2%,47.5%,1.7%,3.8%,12.8%
1,30014,38196,20789,11696,85,200,12,48,526,1681,80.5%,,7.7%,8.0%,29.5 minutes,33.4%,43.1%,2.5%,6.5%,14.5%
2,30038,43041,1170,34525,59,98,6,63,530,782,92.5%,,9.3%,8.8%,37.6 minutes,45.9%,34.3%,3.7%,3.1%,13.0%
3,33139,38572,17706,1208,45,869,13,170,505,18097,91.0%,,22.4%,3.1%,23.3 minutes,39.4%,37.1%,4.0%,4.5%,15.0%
4,38017,53032,37052,6294,79,3359,12,76,493,1277,97.5%,,19.4%,3.3%,26.0 minutes,24.7%,64.1%,1.3%,3.4%,6.4%
5,38117,26578,21497,2615,46,452,6,27,265,1217,97.6%,,22.2%,4.4%,19.9 minutes,26.1%,53.0%,1.5%,7.5%,11.9%
6,38119,23554,12779,7835,30,473,2,19,230,962,96.6%,,17.9%,3.3%,20.6 minutes,36.2%,43.5%,2.2%,6.6%,11.5%
7,38122,24898,12732,5754,43,663,6,53,429,5590,75.1%,,6.7%,6.9%,21.5 minutes,37.1%,37.1%,3.9%,6.1%,15.9%
8,38125,38491,5778,26698,65,1400,20,56,356,1777,91.2%,,14.8%,5.8%,25.2 minutes,38.4%,43.7%,2.4%,3.4%,12.2%
9,38133,21629,13976,3699,65,547,5,32,284,2179,90.1%,,11.9%,4.8%,23.8 minutes,30.3%,54.8%,2.5%,5.1%,7.4%
10,38134,44305,20287,16994,87,824,23,80,589,3064,87.0%,,6.9%,5.8%,22.2 minutes,42.9%,35.9%,3.4%,5.2%,12.6%
11,38138,24919,21162,1024,44,1074,2,32,223,484,98.0%,,25.2%,2.4%,21.4 minutes,18.6%,63.9%,0.6%,6.9%,10.0%
12,38654,50892,33570,9448,65,569,29,50,430,1795,93.1%,,9.6%,4.2%,24.5 minutes,26.6%,56.4%,1.6%,4.4%,11.0%
13,63026,44754,41278,342,99,940,20,20,559,866,93.0%,,11.1%,4.9%,27.0 minutes,24.7%,58.2%,1.0%,4.7%,11.3%
14,63044,10730,7835,1596,18,244,2,18,161,694,89.5%,,10.4%,7.1%,21.5 minutes,34.8%,44.8%,2.8%,7.2%,10.4%
15,63074,15406,9624,3857,37,336,1,36,381,892,86.1%,,3.3%,6.8%,22.0 minutes,40.6%,34.5%,1.3%,7.8%,15.8%
16,63101,3350,1257,1147,8,51,1,15,74,67,95.2%,,23.1%,7.1%,20.3 minutes,65.0%,23.7%,0.5%,1.1%,9.6%
