Column_Name,Context,Min_Value,Max_Value
latitude,Yes,,
longitude,Yes,,
is_closed,Yes,,
zipcode,Yes,,
city,Yes,,
state,Yes,,
price,No,,
rating,No,0,5
url,Yes,,
review_count,No,0,1000000
transactions,No,,
category_x,No,,
id,Yes,,
Name,Yes,,
category_y,No,,
lowprice,No,,
highprice,No,,
health_index,No,,
star1,No,0,1000000
star2,No,0,1000000
star3,No,0,1000000
star4,No,0,1000000
star5,No,0,1000000
Accept_Credit_Card,No,,
Alcohol,No,,
Appointment_Only,No,,
Caters,No,,
Delivers,No,,
Dogs_Allowed,No,,
Outdoor_Seating,No,,
Parking,No,,
Smoking_allowed,No,,
Take_out,No,,
Takes_Reservations,No,,
Wheelchair_Accessible,No,,
WIFI,No,,
Opened_24hrs,No,,
Ambience,No,,
Attire,No,,
Noise_Level,No,,
Music,No,,
atm,No,0,1000000
bank,No,0,1000000
bar,No,0,1000000
beauty_salon,No,0,1000000
book_store,No,0,1000000
bus_station,No,0,1000000
cafe,No,0,1000000
gas_station,No,0,1000000
gym,No,0,1000000
movie_theater,No,0,1000000
museum,No,0,1000000
school,No,0,1000000
shopping_mall,No,0,1000000
subway_station,No,0,1000000
supermarket,No,0,1000000
taxi_stand,No,0,1000000
train_station,No,0,1000000
