name,latitude,longitude,zipcode,city,state,price,rating,review_count,category_x,Accept_Credit_Card,Alcohol,Outdoor_Seating,Parking,Take_out,Takes_Reservations,WIFI,Ambience,Attire,Noise_Level,atm,bank,bar,beauty_salon,bus_station,cafe,gym,school,White population,Black population,American Indian population,Asian population,Hispanic or Latino population,High school or higher,Graduate or professional degree,Unemployed,average_price,review_count_binned
Middle East Restaurant and Nightclub,42.3637902,-71.1012764,02139,Cambridge,MA,$$,3.5,531,"mideastern,musicvenues,bars",1,Full Bar,0,Street,1,0,0,Hipster,Casual,3,18.0,10.0,19.0,9.0,24.0,16.0,9.0,22.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,20,Meadium to Large Reviews
Boston Beer Works,42.347209899999996,-71.09913,02215,Boston,MA,$$,3.5,691,"breweries,tradamerican,beerbar",1,Full Bar,0,Street,1,1,0,Casual,Casual,2,24.0,6.0,34.0,14.0,21.0,21.0,6.0,23.0,0.6747165894938528,0.039477885997125976,0.0011575922082069296,0.20692958646016285,0.08486348395337698,0.982,0.47100000000000003,0.07400000000000001,20,large Number of Reviews
Craigie On Main,42.363481799999995,-71.09861289,02139,Cambridge,MA,$$$$,4.0,1216,"newamerican,french,bars",1,Full Bar,0,"Valet, Garage, Street",0,1,0,Casual,Casual,2,16.0,8.0,17.0,8.0,31.0,15.0,9.0,17.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,60,Very Popular Resturant
Gyro City,42.34316228,-71.09899293,02215,Boston,MA,$,4.0,283,"greek,mediterranean",1,No,1,Street,1,0,0,Casual,Casual,2,15.0,3.0,20.0,3.0,17.0,14.0,3.0,11.0,0.6747165894938528,0.039477885997125976,0.0011575922082069296,0.20692958646016285,0.08486348395337698,0.982,0.47100000000000003,0.07400000000000001,10,Medium No Reviews
Porcinis Italian Restaurant,42.36483,-71.1667,02472,Watertown,MA,$$,4.0,167,"italian,seafood,mediterranean",1,Full Bar,1,Street,1,1,0,Casual,Casual,2,4.0,1.0,3.0,1.0,7.0,1.0,3.0,7.0,0.7600919700806194,0.026106696935300794,0.0007276113973049274,0.0670566663756221,0.04930294828138188,0.961,0.311,0.044000000000000004,20,Medium No Reviews
Eastern Standard Kitchen & Drinks,42.34874032,-71.09601684,02215,Boston,MA,$$$,4.0,1749,"newamerican,lounges,breakfast_brunch",1,Full Bar,1,"Valet, Street",1,1,0,Classy,Casual,2,18.0,4.0,26.0,11.0,16.0,8.0,8.0,20.0,0.6747165894938528,0.039477885997125976,0.0011575922082069296,0.20692958646016285,0.08486348395337698,0.982,0.47100000000000003,0.07400000000000001,45,Very Popular Resturant
Cuchi Cuchi,42.36334,-71.09713,02139,Cambridge,MA,$$$,4.0,1066,"tapasmallplates,wine_bars,cocktailbars",1,Full Bar,0,Street,0,1,0,Trendy,Casual,3,12.0,5.0,17.0,5.0,23.0,13.0,10.0,20.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,45,Very Popular Resturant
Island Creek Oyster Bar,42.34868224,-71.09511845,02215,Boston,MA,$$$,4.5,2486,"seafood,bars",1,Full Bar,0,"Valet, Street",0,1,0,Trendy,Casual,2,16.0,4.0,27.0,6.0,14.0,8.0,8.0,24.0,0.6747165894938528,0.039477885997125976,0.0011575922082069296,0.20692958646016285,0.08486348395337698,0.982,0.47100000000000003,0.07400000000000001,45,Very Popular Resturant
Trattoria Pulcinella,42.38273710000001,-71.13073979,02138,Cambridge,MA,$$$,3.0,47,italian,1,Beer & Wine Only,1,Street,1,1,0,Romantic,Casual,4,3.0,1.0,1.0,3.0,10.0,2.0,1.0,7.0,0.6631735730623969,0.06005638597797755,0.0014894409277089206,0.14322570349486674,0.059710622905473694,1.001,0.561,0.039,45,Small No Reviews
Bondir Cambridge,42.3682904,-71.0977689,02139,Cambridge,MA,$$$$,4.0,313,newamerican,1,Beer & Wine Only,0,Street,1,1,0,Intimate,Casual,4,2.0,1.0,2.0,8.0,24.0,5.0,5.0,19.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,60,Meadium to Large Reviews
